zip_code,state,population,median_income,median_age,housing_units,density,region,density_category,income_category,lat,lon,pop_color,income_color,age_color,housing_color,density_color
19946,DE,11411,69471,48,4693,342,South DE,Rural,Medium,39.0342,-75.4545,#a6d3e3,#00cd00,#ff9100,#ff9874,#dc9fdc
19950,DE,42316,58171,35,16811,11079,North DE,Dense Urban,Medium,38.8175,-75.5935,#3c85b8,#00df00,#ffbd00,#ff4031,#cc8bcc
19954,DE,12239,66038,47,5082,285,South DE,Rural,Medium,38.9114,-75.5064,#a4d1e2,#00d200,#ff9400,#ff9572,#dda0dd
19955,DE,31008,64485,35,12433,4491,North DE,Urban,Medium,39.2256,-75.6642,#63a2c8,#00d500,#ffbd00,#ff6049,#d698d6
19960,DE,23140,66357,41,9696,7398,North DE,Dense Urban,Medium,38.8613,-75.4,#7eb6d3,#00d200,#ffa900,#ff7458,#d192d1
19962,DE,11971,56531,41,5145,304,South DE,Rural,Medium,39.0735,-75.5083,#a4d2e2,#00e200,#ffa900,#ff9571,#dc9fdc
19970,DE,18535,82651,36,7462,2234,North DE,Urban,High,38.5617,-75.0966,#8ec1d9,#00b700,#ffba00,#ff8464,#d99cd9
19970,DE,18535,82651,36,7462,2234,North DE,Urban,High,38.5617,-75.0966,#8ec1d9,#00b700,#ffba00,#ff8464,#d99cd9
19970,DE,11530,45282,41,5084,416,South DE,Rural,Low,38.5617,-75.0966,#a6d3e3,#00f400,#ffa900,#ff9571,#dc9fdc
19970,DE,11530,45282,41,5084,416,South DE,Rural,Low,38.5617,-75.0966,#a6d3e3,#00f400,#ffa900,#ff9571,#dc9fdc
19975,DE,11727,62800,41,4814,1404,North DE,Suburban,Medium,38.4654,-75.1573,#a5d2e3,#00d700,#ffa900,#ff9773,#db9ddb
19980,DE,28708,61283,39,11034,8653,North DE,Dense Urban,Medium,39.0724,-75.5711,#6ba8cb,#00da00,#ffaf00,#ff6a51,#d090d0
07010,NJ,30795,119343,39,12949,4009,North NJ,Urban,Very High,40.8222,-73.988,#64a2c8,#007b00,#ffaf00,#ff5c46,#d799d7
07013,NJ,31850,86962,42,12911,14815,North NJ,Dense Urban,High,40.8693,-74.1711,#60a0c7,#00b000,#ffa500,#ff5c46,#c684c6
07016,NJ,31023,65769,42,11421,5413,North NJ,Dense Urban,Medium,40.6554,-74.3057,#63a2c8,#00d300,#ffa500,#ff674f,#d596d5
07019,NJ,17433,104188,35,7109,6500,North NJ,Dense Urban,Very High,40.7673,-74.2049,#92c4db,#009400,#ffbd00,#ff8666,#d394d3
07022,NJ,43693,92480,35,17051,28263,North NJ,Dense Urban,High,40.817,-74.0,#3782b6,#00a700,#ffbd00,#ff3f30,#b16bb1
07028,NJ,16267,76394,39,6247,3040,North NJ,Urban,High,40.804,-74.2055,#96c7dc,#00c100,#ffaf00,#ff8d6b,#d89ad8
07031,NJ,45740,86777,38,16506,10329,North NJ,Dense Urban,High,40.7898,-74.1343,#307db3,#00b000,#ffb300,#ff4233,#cd8dcd
07034,NJ,23433,88897,39,9701,5850,North NJ,Dense Urban,High,40.8825,-74.383,#7db5d2,#00ad00,#ffaf00,#ff7458,#d495d4
07040,NJ,29541,66585,42,11032,7308,North NJ,Dense Urban,Medium,40.7279,-74.2656,#68a6ca,#00d100,#ffa500,#ff6a51,#d292d2
07043,NJ,16021,78417,38,6696,3282,North NJ,Urban,High,40.843,-74.2011,#96c7dd,#00be00,#ffb300,#ff8969,#d89ad8
07046,NJ,21873,102065,38,8416,4944,North NJ,Urban,Very High,40.8904,-74.4415,#82b9d4,#009700,#ffb300,#ff7d5f,#d597d5
07052,NJ,39276,73529,39,15144,9754,North NJ,Dense Urban,Medium,40.7859,-74.2568,#468dbc,#00c600,#ffaf00,#ff4c3a,#ce8ece
07055,NJ,36243,122836,43,14804,6655,North NJ,Dense Urban,Very High,40.8601,-74.1283,#5195c0,#007600,#ffa200,#ff4f3c,#d394d3
07058,NJ,17568,67027,42,7629,2694,North NJ,Urban,Medium,40.8742,-74.35,#91c4da,#00d000,#ffa500,#ff8363,#d99bd9
07061,NJ,20258,98159,37,7516,7254,North NJ,Dense Urban,High,40.6657,-74.2997,#88bdd7,#009e00,#ffb600,#ff8364,#d292d2
07064,NJ,27666,91854,44,11733,13963,North NJ,Dense Urban,High,40.5709,-74.2466,#6eaacc,#00a800,#ff9e00,#ff654d,#c786c7
07067,NJ,37662,78067,36,16042,5360,North NJ,Dense Urban,High,40.5937,-74.3164,#4c91be,#00be00,#ffba00,#ff4635,#d596d5
07070,NJ,50222,123148,37,19348,8588,North NJ,Dense Urban,Very High,40.8292,-74.1121,#2172ad,#007500,#ffb600,#ff2e23,#d090d0
07073,NJ,25965,70056,37,11003,3573,North NJ,Urban,Medium,40.8385,-74.1041,#74afcf,#00cc00,#ffb600,#ff6a51,#d799d7
07076,NJ,28773,82412,44,11899,4099,North NJ,Urban,High,40.6379,-74.3682,#6ba7cb,#00b700,#ff9e00,#ff644c,#d798d7
07079,NJ,40446,65206,44,17488,22943,North NJ,Dense Urban,Medium,40.7465,-74.2575,#428abb,#00d300,#ff9e00,#ff3b2d,#b975b9
07082,NJ,37403,105342,41,14930,5055,North NJ,Dense Urban,Very High,40.9277,-74.3428,#4d92bf,#009200,#ffa900,#ff4e3b,#d597d5
07088,NJ,17693,111699,38,6442,3960,North NJ,Urban,Very High,40.7179,-74.2829,#91c3da,#008800,#ffb300,#ff8b6a,#d799d7
07091,NJ,36834,75230,43,14979,10208,North NJ,Dense Urban,High,40.6657,-74.2997,#4f93c0,#00c300,#ffa200,#ff4d3b,#cd8dcd
07094,NJ,38776,66306,43,14313,11862,North NJ,Dense Urban,Medium,40.791,-74.0634,#488ebd,#00d200,#ffa200,#ff523f,#cb8acb
07097,NJ,24474,86959,43,9626,15838,North NJ,Dense Urban,High,40.7328,-74.0755,#79b2d1,#00b000,#ffa200,#ff7458,#c482c4
07110,NJ,46968,65663,40,19493,20607,North NJ,Dense Urban,Medium,40.8185,-74.1589,#2c7ab1,#00d300,#ffac00,#ff2d22,#bd79bd
07188,NJ,33589,101212,40,13516,4361,North NJ,Urban,Very High,40.7357,-74.1724,#5a9bc4,#009900,#ffac00,#ff5843,#d698d6
07191,NJ,48828,96216,39,18880,6480,North NJ,Dense Urban,High,40.7918,-74.2452,#2575af,#00a100,#ffaf00,#ff3125,#d394d3
07310,NJ,18267,103513,42,6847,3042,North NJ,Urban,Very High,40.7324,-74.0431,#8fc2d9,#009500,#ffa500,#ff8868,#d89ad8
07410,NJ,20713,69804,43,8255,4922,North NJ,Urban,Medium,40.9343,-74.1166,#86bcd6,#00cc00,#ffa200,#ff7e60,#d597d5
07416,NJ,42712,111318,35,17164,9240,North NJ,Dense Urban,Very High,41.1164,-74.5865,#3a84b7,#008800,#ffbd00,#ff3e2f,#cf8fcf
07419,NJ,38833,85309,35,14281,9767,North NJ,Dense Urban,High,41.1467,-74.5874,#488ebd,#00b300,#ffbd00,#ff533f,#ce8ece
07422,NJ,33017,73702,35,14312,18982,North NJ,Dense Urban,Medium,41.1826,-74.4564,#5c9dc5,#00c600,#ffbd00,#ff523f,#c07cc0
07428,NJ,38574,75916,44,14156,5935,North NJ,Dense Urban,High,41.2065,-74.5381,#498fbd,#00c200,#ff9e00,#ff533f,#d495d4
07440,NJ,43538,107944,40,15638,12437,North NJ,Dense Urban,Very High,40.9473,-74.296,#3882b6,#008e00,#ffac00,#ff4937,#ca89ca
07446,NJ,54764,91698,37,19902,9682,North NJ,Dense Urban,High,41.0577,-74.1445,#1166a7,#00a800,#ffb600,#ff2a20,#ce8ece
07452,NJ,40934,75209,38,15904,9424,North NJ,Dense Urban,High,40.9602,-74.1254,#4189ba,#00c300,#ffb300,#ff4736,#ce8ece
07458,NJ,52660,120479,35,20682,21441,North NJ,Dense Urban,Very High,41.0443,-74.0981,#186ba9,#007900,#ffbd00,#ff241c,#bc78bc
07461,NJ,34963,101932,36,13393,18110,North NJ,Dense Urban,Very High,41.2292,-74.5992,#5598c2,#009800,#ffba00,#ff5944,#c17ec1
07470,NJ,33271,69188,36,12791,7263,North NJ,Dense Urban,Medium,40.9471,-74.2466,#5b9cc5,#00cd00,#ffba00,#ff5d47,#d292d2
07510,NJ,54650,111271,43,20478,13389,North NJ,Dense Urban,Very High,40.9168,-74.1718,#1166a7,#008800,#ffa200,#ff261d,#c887c8
07513,NJ,25267,116128,35,10502,15496,North NJ,Dense Urban,Very High,40.907,-74.1529,#77b0d0,#008100,#ffbd00,#ff6e54,#c583c5
07522,NJ,29369,77199,35,11373,5730,North NJ,Dense Urban,High,40.9252,-74.1781,#68a6ca,#00c000,#ffbd00,#ff684f,#d495d4
07543,NJ,37350,111685,42,14033,5483,North NJ,Dense Urban,Very High,41.0114,-74.3048,#4d92bf,#008800,#ffa500,#ff5440,#d496d4
07628,NJ,35609,100442,37,13787,22547,North NJ,Dense Urban,Very High,40.9447,-73.9921,#5396c1,#009a00,#ffb600,#ff5642,#ba76ba
07631,NJ,48561,99884,38,20311,15481,North NJ,Dense Urban,High,40.8943,-73.9772,#2676af,#009b00,#ffb300,#ff271e,#c583c5
07640,NJ,32368,91215,38,11730,10229,North NJ,Dense Urban,High,40.9918,-73.98,#5e9ec6,#00a900,#ffb300,#ff654d,#cd8dcd
07643,NJ,53727,92632,44,23014,9370,North NJ,Dense Urban,High,40.8493,-74.0405,#1469a8,#00a700,#ff9e00,#ff130f,#ce8ece
07646,NJ,35530,109327,43,12860,5651,North NJ,Dense Urban,Very High,40.9331,-74.0195,#5396c1,#008c00,#ffa200,#ff5d47,#d495d4
07649,NJ,28718,87116,39,12052,12495,North NJ,Dense Urban,High,40.9535,-74.0335,#6ba8cb,#00b000,#ffaf00,#ff634b,#ca89ca
07652,NJ,34256,118173,41,14192,9362,North NJ,Dense Urban,Very High,40.9477,-74.0672,#589ac3,#007d00,#ffa900,#ff533f,#ce8ece
07661,NJ,49393,73577,41,19969,6604,North NJ,Dense Urban,Medium,40.9265,-74.0392,#2374ae,#00c600,#ffa900,#ff291f,#d394d3
07670,NJ,52148,69757,44,22608,9888,North NJ,Dense Urban,Medium,40.9216,-73.9659,#1a6daa,#00cc00,#ff9e00,#ff1611,#ce8dce
07676,NJ,52011,96195,42,20387,12398,North NJ,Dense Urban,High,40.9883,-74.0635,#1a6daa,#00a100,#ffa500,#ff261d,#ca89ca
07710,NJ,34846,114984,43,14453,6025,North NJ,Dense Urban,Very High,40.2182,-74.2563,#5698c2,#008200,#ffa200,#ff513e,#d495d4
07716,NJ,34694,104986,35,13455,6670,North NJ,Dense Urban,Very High,40.4015,-74.0309,#5699c3,#009300,#ffbd00,#ff5843,#d394d3
07719,NJ,28575,99911,42,10737,13313,North NJ,Dense Urban,High,40.1688,-74.072,#6ba8cb,#009b00,#ffa500,#ff6c52,#c887c8
07722,NJ,33922,119771,39,14309,4372,North NJ,Urban,Very High,40.3012,-74.178,#599bc4,#007b00,#ffaf00,#ff523f,#d698d6
07728,NJ,31032,118394,37,11974,10883,North NJ,Dense Urban,Very High,40.2458,-74.2768,#63a2c8,#007d00,#ffb600,#ff634c,#cc8ccc
07731,NJ,46419,107880,39,18786,7640,North NJ,Dense Urban,Very High,40.1481,-74.2137,#2e7bb2,#008e00,#ffaf00,#ff3226,#d192d1
07734,NJ,52609,94378,41,22704,7665,North NJ,Dense Urban,High,40.4414,-74.1306,#186caa,#00a400,#ffa900,#ff1610,#d192d1
07737,NJ,29596,66279,43,11753,7905,North NJ,Dense Urban,Medium,40.4177,-74.0623,#68a5ca,#00d200,#ffa200,#ff654d,#d191d1
07740,NJ,22083,108861,42,9368,7545,North NJ,Dense Urban,Very High,40.2992,-73.9912,#82b8d4,#008c00,#ffa500,#ff765a,#d192d1
07746,NJ,42856,100367,36,16377,13201,North NJ,Dense Urban,Very High,40.3182,-74.2639,#3a84b7,#009a00,#ffba00,#ff4333,#c887c8
07752,NJ,26372,73996,40,9564,4400,North NJ,Urban,Medium,40.4023,-74.0273,#73adce,#00c500,#ffac00,#ff7559,#d698d6
07755,NJ,41665,96653,36,16167,7940,North NJ,Dense Urban,High,40.2648,-74.0184,#3e87b9,#00a000,#ffba00,#ff4534,#d191d1
07758,NJ,46896,77875,41,19927,9907,North NJ,Dense Urban,High,40.4289,-74.1083,#2c7ab2,#00bf00,#ffa900,#ff2a20,#ce8dce
07764,NJ,45987,112924,41,17778,8189,North NJ,Dense Urban,Very High,40.2878,-74.0162,#2f7cb3,#008600,#ffa900,#ff392c,#d091d0
07822,NJ,39935,59806,36,16036,4409,Central NJ,Urban,Medium,41.1451,-74.6848,#448bbb,#00dc00,#ffba00,#ff4635,#d698d6
07826,NJ,31541,92198,40,11405,2827,Central NJ,Urban,High,41.1705,-74.75,#61a0c7,#00a700,#ffac00,#ff674f,#d99bd9
07830,NJ,23122,72905,38,8050,2056,Central NJ,Urban,Medium,40.7162,-74.8152,#7eb6d3,#00c700,#ffb300,#ff8061,#da9cda
07834,NJ,18737,80510,38,7320,1982,Central NJ,Suburban,High,40.8897,-74.4844,#8dc1d9,#00bb00,#ffb300,#ff8565,#da9cda
07838,NJ,12614,64374,43,5015,5322,Central NJ,Dense Urban,Medium,40.852,-74.9418,#a2d0e1,#00d500,#ffa200,#ff9672,#d596d5
07842,NJ,42907,71514,40,16099,6300,Central NJ,Dense Urban,Medium,40.944,-74.4927,#3a84b7,#00c900,#ffac00,#ff4535,#d394d3
07846,NJ,43705,67651,42,17087,4726,Central NJ,Urban,Medium,40.9645,-74.8785,#3782b6,#00cf00,#ffa500,#ff3e2f,#d697d6
07850,NJ,18640,70317,36,6731,2524,Central NJ,Urban,Medium,40.9087,-74.6554,#8dc1d9,#00cb00,#ffba00,#ff8968,#d99bd9
07866,NJ,41629,63436,39,15340,14427,Central NJ,Dense Urban,Medium,40.9229,-74.5094,#3e87b9,#00d600,#ffaf00,#ff4b39,#c785c7
07870,NJ,31895,65616,37,13040,6761,Central NJ,Dense Urban,Medium,40.7993,-74.8138,#60a0c6,#00d300,#ffb600,#ff5b46,#d293d2
07874,NJ,36574,67676,36,14517,5886,Central NJ,Dense Urban,Medium,40.9217,-74.7004,#5094c0,#00cf00,#ffba00,#ff513e,#d495d4
07878,NJ,14050,79951,41,4970,2105,Central NJ,Urban,High,40.8711,-74.4777,#9dccdf,#00bb00,#ffa900,#ff9672,#da9cda
07882,NJ,44913,80280,40,15520,10357,Central NJ,Dense Urban,High,40.7582,-74.9914,#337fb4,#00bb00,#ffac00,#ff4a38,#cd8dcd
07890,NJ,13828,87123,41,4782,1401,Central NJ,Suburban,High,41.1465,-74.7524,#9ecde0,#00b000,#ffa900,#ff9773,#db9ddb
07922,NJ,36578,62287,40,13707,3600,Central NJ,Urban,Medium,40.6752,-74.4346,#5094c0,#00d800,#ffac00,#ff5742,#d799d7
07926,NJ,29764,73024,43,11751,10211,Central NJ,Dense Urban,Medium,40.8004,-74.5718,#67a5c9,#00c700,#ffa200,#ff654d,#cd8dcd
07930,NJ,44284,92784,37,15642,4067,Central NJ,Urban,High,40.7892,-74.6776,#3580b5,#00a700,#ffb600,#ff4937,#d798d7
07934,NJ,41192,70585,43,16305,7786,Central NJ,Dense Urban,Medium,40.7219,-74.6707,#4088b9,#00cb00,#ffa200,#ff4434,#d191d1
07938,NJ,16133,58972,43,6092,3509,Central NJ,Urban,Medium,40.6554,-74.5862,#96c7dc,#00de00,#ffa200,#ff8e6c,#d899d8
07946,NJ,33452,64516,43,12585,3182,Central NJ,Urban,Medium,40.6727,-74.5183,#5a9cc4,#00d500,#ffa200,#ff5f48,#d89ad8
07950,NJ,30546,56591,43,11152,2981,Central NJ,Urban,Medium,40.8445,-74.4824,#64a3c8,#00e100,#ffa200,#ff6950,#d89ad8
07962,NJ,44088,75670,38,15879,3901,Central NJ,Urban,High,40.8673,-74.5783,#3681b5,#00c200,#ffb300,#ff4736,#d799d7
07970,NJ,24713,77890,40,8916,7514,Central NJ,Dense Urban,High,40.8055,-74.5738,#79b2d0,#00bf00,#ffac00,#ff795c,#d192d1
07974,NJ,38705,81588,39,16105,3802,Central NJ,Urban,High,40.7004,-74.4023,#488fbd,#00b900,#ffaf00,#ff4535,#d799d7
07978,NJ,33727,64882,36,12585,11871,Central NJ,Dense Urban,Medium,40.6425,-74.6396,#599bc4,#00d400,#ffba00,#ff5f48,#cb8acb
08010,NJ,32953,57353,41,11415,11996,Central NJ,Dense Urban,Medium,40.0565,-74.9114,#5c9dc5,#00e000,#ffa900,#ff674f,#ca8aca
08014,NJ,36860,80338,38,13666,5706,Central NJ,Dense Urban,High,39.8016,-75.3478,#4f93c0,#00bb00,#ffb300,#ff5742,#d495d4
08018,NJ,39083,62813,42,14779,17402,Central NJ,Dense Urban,Medium,39.7154,-74.9007,#478ebc,#00d700,#ffa500,#ff4f3c,#c27fc2
08022,NJ,39570,85678,37,15959,8744,Central NJ,Dense Urban,High,40.0642,-74.6899,#458cbc,#00b200,#ffb600,#ff4636,#cf90cf
08026,NJ,25025,69288,38,9530,2090,Central NJ,Urban,Medium,39.8365,-74.971,#77b1d0,#00cd00,#ffb300,#ff7559,#da9cda
08030,NJ,28422,90612,40,11149,3909,Central NJ,Urban,High,39.8911,-75.117,#6ca8cb,#00aa00,#ffac00,#ff6950,#d799d7
08034,NJ,25261,66722,38,8913,5873,Central NJ,Dense Urban,Medium,39.9074,-75.0008,#77b0d0,#00d100,#ffb300,#ff795c,#d495d4
08038,NJ,40087,94214,43,14171,6339,Central NJ,Dense Urban,High,39.4716,-75.4902,#448bbb,#00a400,#ffa200,#ff533f,#d394d3
08042,NJ,44196,62424,37,15523,3732,Central NJ,Urban,Medium,40.0123,-74.6646,#3581b5,#00d800,#ffb600,#ff4a38,#d799d7
08046,NJ,31982,81431,36,11732,3381,Central NJ,Urban,High,40.029,-74.8835,#5f9fc6,#00b900,#ffba00,#ff654d,#d89ad8
08050,NJ,38385,73639,38,13309,3606,Central NJ,Urban,Medium,39.705,-74.2604,#498fbd,#00c600,#ffb300,#ff5a44,#d799d7
08054,NJ,17776,63711,42,6767,6105,Central NJ,Dense Urban,Medium,39.9478,-74.9036,#90c3da,#00d600,#ffa500,#ff8968,#d395d3
08062,NJ,27251,58224,41,11083,2734,Central NJ,Urban,Medium,39.7252,-75.2065,#70abcd,#00df00,#ffa900,#ff6a50,#d99bd9
08066,NJ,23536,89531,36,9413,2915,Central NJ,Urban,High,39.8312,-75.2242,#7db5d2,#00ac00,#ffba00,#ff765a,#d89bd8
08070,NJ,21208,60109,40,8367,5877,Central NJ,Dense Urban,Medium,39.6491,-75.5155,#85bad5,#00dc00,#ffac00,#ff7d5f,#d495d4
08074,NJ,28967,75172,36,12040,5675,Central NJ,Dense Urban,High,39.7206,-75.1681,#6aa7cb,#00c300,#ffba00,#ff634b,#d495d4
08078,NJ,38589,72773,42,14292,6512,Central NJ,Dense Urban,Medium,39.8508,-75.0742,#498fbd,#00c700,#ffa500,#ff523f,#d394d3
08086,NJ,44981,64768,36,18349,4739,Central NJ,Urban,Medium,39.8457,-75.1943,#337fb4,#00d400,#ffba00,#ff3528,#d697d6
08090,NJ,20783,85811,39,8077,3045,Central NJ,Urban,High,39.7993,-75.1536,#86bcd6,#00b200,#ffaf00,#ff7f61,#d89ad8
08094,NJ,21127,61368,36,7435,10071,Central NJ,Dense Urban,Medium,39.665,-74.971,#85bbd5,#00da00,#ffba00,#ff8465,#cd8dcd
08098,NJ,30333,70525,42,12131,13007,Central NJ,Dense Urban,Medium,39.6457,-75.3248,#65a4c9,#00cb00,#ffa500,#ff624b,#c988c9
08110,NJ,13592,56927,38,4993,843,South NJ,Suburban,Medium,39.9723,-75.0607,#9fcee0,#00e100,#ffb300,#ff9672,#dc9edc
08210,NJ,33016,81537,45,12855,2370,South NJ,Urban,High,39.1378,-74.7806,#5c9dc5,#00b900,#ff9b00,#ff5d47,#d99cd9
08214,NJ,34153,79910,38,11999,2749,South NJ,Urban,High,39.1932,-74.8252,#589ac3,#00bb00,#ffb300,#ff634b,#d99bd9
08218,NJ,19543,65625,43,7006,3355,South NJ,Urban,Medium,39.1415,-74.8529,#8abfd8,#00d300,#ffa200,#ff8767,#d89ad8
08226,NJ,15843,79367,38,6062,2193,South NJ,Urban,High,39.2709,-74.5875,#97c8dd,#00bc00,#ffb300,#ff8e6c,#da9cda
08230,NJ,10472,54704,41,4132,631,South NJ,Suburban,Medium,39.2154,-74.7075,#aad5e4,#00e500,#ffa900,#ff9c77,#dc9fdc
08234,NJ,18756,52255,42,7116,4132,South NJ,Urban,Medium,39.3741,-74.6118,#8dc1d9,#00e900,#ffa500,#ff8666,#d798d7
08242,NJ,13249,67201,43,4767,532,South NJ,Suburban,Medium,39.0196,-74.8756,#a0cee0,#00d000,#ffa200,#ff9773,#dc9fdc
08246,NJ,34977,80007,43,12576,2728,South NJ,Urban,High,39.179,-74.7599,#5598c2,#00bb00,#ffa200,#ff5f48,#d99bd9
08250,NJ,22788,58526,44,8763,3323,South NJ,Urban,Medium,39.2901,-74.7538,#7fb6d3,#00de00,#ff9e00,#ff7a5d,#d89ad8
08270,NJ,30933,74342,45,12065,6235,South NJ,Dense Urban,Medium,39.2716,-74.7968,#63a2c8,#00c500,#ff9b00,#ff634b,#d394d3
08310,NJ,15629,76495,44,5892,753,South NJ,Suburban,High,39.537,-74.8895,#98c8dd,#00c100,#ff9e00,#ff8f6d,#dc9fdc
08314,NJ,16264,72226,39,6311,1610,South NJ,Suburban,Medium,39.2023,-74.9705,#96c7dc,#00c800,#ffaf00,#ff8c6b,#da9dda
08318,NJ,27362,76937,38,9815,2577,South NJ,Urban,High,39.5691,-75.163,#6fabcd,#00c000,#ffb300,#ff7357,#d99bd9
08322,NJ,28643,79552,43,9712,1752,South NJ,Suburban,High,39.6156,-75.0409,#6ba8cb,#00bc00,#ffa200,#ff7458,#da9dda
08326,NJ,16429,59138,40,6086,2399,South NJ,Urban,Medium,39.5239,-74.9377,#95c6dc,#00dd00,#ffac00,#ff8e6c,#d99cd9
08330,NJ,25432,83732,39,9237,1440,South NJ,Suburban,High,39.432,-74.6962,#76b0cf,#00b500,#ffaf00,#ff775b,#db9ddb
08342,NJ,10494,66268,40,3734,613,South NJ,Suburban,Medium,39.5021,-74.8335,#aad5e4,#00d200,#ffac00,#ff9f79,#dc9fdc
08346,NJ,13179,54430,40,4736,1195,South NJ,Suburban,Medium,39.5645,-74.859,#a0cfe1,#00e500,#ffac00,#ff9873,#db9edb
08350,NJ,18145,84618,39,7175,1383,South NJ,Suburban,High,39.485,-74.8776,#8fc2da,#00b400,#ffaf00,#ff8666,#db9ddb
08362,NJ,9638,49382,41,3632,1199,South NJ,Suburban,Low,39.4862,-75.0257,#add8e6,#00ed00,#ffa900,#ffa07a,#db9edb
08810,NJ,22361,58041,37,9002,2234,Central NJ,Urban,Medium,40.3825,-74.5111,#81b8d4,#00df00,#ffb600,#ff795c,#d99cd9
08818,NJ,38015,80291,43,13228,7620,Central NJ,Dense Urban,High,40.43,-74.4173,#4b90be,#00bb00,#ffa200,#ff5a45,#d192d1
08822,NJ,15389,79826,42,6306,1564,Central NJ,Suburban,High,40.518,-74.8453,#99c9dd,#00bc00,#ffa500,#ff8c6b,#db9ddb
08826,NJ,44975,82961,41,17125,6015,Central NJ,Dense Urban,High,40.7134,-74.9162,#337fb4,#00b700,#ffa900,#ff3e2f,#d495d4
08830,NJ,33288,91877,38,12050,9145,Central NJ,Dense Urban,High,40.5716,-74.3167,#5b9cc5,#00a800,#ffb300,#ff634b,#cf8fcf
08834,NJ,19179,56560,40,7082,4289,Central NJ,Urban,Medium,40.5637,-74.9494,#8cc0d8,#00e200,#ffac00,#ff8766,#d698d6
08846,NJ,28082,57920,38,10304,6554,Central NJ,Dense Urban,Medium,40.5759,-74.5008,#6da9cc,#00df00,#ffb300,#ff6f55,#d394d3
08850,NJ,26025,94004,41,10774,4314,Central NJ,Urban,High,40.4493,-74.439,#74aecf,#00a500,#ffa900,#ff6c52,#d698d6
08854,NJ,42027,55956,43,16085,11231,Central NJ,Dense Urban,Medium,40.5515,-74.459,#3d86b8,#00e300,#ffa200,#ff4535,#cc8bcc
08858,NJ,24803,91221,39,9351,2651,Central NJ,Urban,High,40.6726,-74.7474,#78b1d0,#00a900,#ffaf00,#ff765a,#d99bd9
08862,NJ,27282,61563,37,9875,3503,Central NJ,Urban,Medium,40.43,-74.4173,#70abcd,#00d900,#ffb600,#ff7257,#d899d8
08870,NJ,24201,76116,39,9337,2030,Central NJ,Urban,High,40.5687,-74.7377,#7ab3d1,#00c200,#ffaf00,#ff765a,#da9cda
08882,NJ,16648,85523,40,6347,3722,Central NJ,Urban,High,40.4444,-74.3801,#94c6dc,#00b200,#ffac00,#ff8c6b,#d799d7
