zip_code,state,county,lat,lon,city,population,median_income,median_age,housing_units,density,pop_color,income_color,age_color,housing_color,density_color
19539,PA,Berks,40.4992,-75.6872,Mertztown,15788.0,66589.0,38.0,4399.0,1042.0,#92c4db,#00d100,#ffb300,#ff9874,#db9edb
19540,PA,Berks,40.2584,-75.9833,Mohnton,33640.0,64835.0,40.0,13370.0,5162.0,#5699c3,#00d400,#ffac00,#ff5843,#d596d5
19541,PA,Berks,40.4783,-76.0125,Mohrsville,18275.0,66274.0,39.0,6960.0,891.0,#89bed7,#00d200,#ffaf00,#ff8666,#db9edb
19543,PA,Berks,40.1552,-75.8998,Morgantown,14154.0,66355.0,40.0,5166.0,869.0,#97c8dd,#00d200,#ffac00,#ff9370,#db9edb
19544,PA,Berks,40.4187,-76.2944,Mount Aetna,17653.0,68203.0,37.0,7713.0,1056.0,#8cbfd8,#00cf00,#ffb600,#ff8062,#db9edb
19545,PA,Berks,40.3397,-75.6302,New Berlinville,19386.0,58500.0,38.0,6821.0,755.0,#86bbd6,#00de00,#ffb300,#ff8767,#dc9edc
19547,PA,Berks,40.3833,-75.7706,Oley,13859.0,70013.0,42.0,7157.0,1099.0,#98c9dd,#00cc00,#ffa500,#ff8465,#db9edb
19548,PA,Berks,40.2829,-75.6907,Pine Forge,15434.0,69263.0,38.0,7377.0,497.0,#93c5db,#00cd00,#ffb300,#ff8364,#dc9fdc
19549,PA,Berks,40.5818,-76.0267,Port Clinton,15505.0,59250.0,42.0,5171.0,927.0,#93c5db,#00dd00,#ffa500,#ff9370,#db9edb
19550,PA,Berks,40.4553,-76.2453,Rehrersburg,12370.0,66064.0,42.0,5024.0,483.0,#9dccdf,#00d200,#ffa500,#ff9470,#dc9fdc
19551,PA,Berks,40.3553,-76.1366,Robesonia,11140.0,52775.0,42.0,6459.0,1022.0,#a1cfe1,#00e800,#ffa500,#ff8969,#db9edb
19554,PA,Berks,40.5129,-76.1044,Shartlesville,14404.0,63359.0,37.0,4575.0,584.0,#96c7dd,#00d600,#ffb600,#ff9773,#dc9fdc
19555,PA,Berks,40.4955,-75.9603,Shoemakersville,11447.0,60168.0,40.0,6131.0,795.0,#a0cfe1,#00dc00,#ffac00,#ff8c6a,#dc9edc
19559,PA,Berks,40.4945,-76.1825,Strausstown,11534.0,70546.0,40.0,6619.0,810.0,#a0cee0,#00cb00,#ffac00,#ff8868,#dc9edc
19560,PA,Berks,40.4025,-75.9046,Temple,16666.0,56245.0,42.0,7481.0,948.0,#8fc2d9,#00e200,#ffa500,#ff8263,#db9edb
19562,PA,Berks,40.5029,-75.7015,Topton,14730.0,59528.0,42.0,5914.0,820.0,#95c7dc,#00dd00,#ffa500,#ff8d6c,#dc9edc
19564,PA,Berks,40.524,-75.873,Virginville,29581.0,64523.0,37.0,10663.0,2885.0,#64a3c8,#00d500,#ffb600,#ff6b52,#d89ad8
19565,PA,Berks,40.3293,-76.0901,Wernersville,10779.0,69718.0,40.0,5028.0,813.0,#a2d0e1,#00cc00,#ffac00,#ff9470,#dc9edc
19567,PA,Berks,40.3743,-76.1985,Womelsdorf,11803.0,68342.0,39.0,7597.0,886.0,#9fcee0,#00ce00,#ffaf00,#ff8162,#db9edb
19601,PA,Berks,40.3466,-75.9351,Reading,18702.0,59585.0,38.0,6688.0,1113.0,#88bdd7,#00dd00,#ffb300,#ff8867,#db9edb
19602,PA,Berks,40.3306,-75.9192,Reading,16573.0,70184.0,39.0,4374.0,627.0,#8fc2da,#00cb00,#ffaf00,#ff9874,#dc9fdc
19603,PA,Berks,40.3884,-75.9631,Reading,12328.0,69873.0,39.0,7315.0,775.0,#9dccdf,#00cc00,#ffaf00,#ff8364,#dc9edc
19604,PA,Berks,40.3507,-75.9143,Reading,13011.0,70345.0,38.0,5634.0,930.0,#9bcbde,#00cb00,#ffb300,#ff8f6d,#db9edb
19605,PA,Berks,40.3886,-75.9328,Reading,18369.0,63831.0,42.0,6629.0,832.0,#89bed7,#00d600,#ffa500,#ff8868,#dc9edc
19606,PA,Berks,40.3351,-75.875,Reading,19494.0,60387.0,40.0,6220.0,992.0,#85bbd6,#00db00,#ffac00,#ff8b6a,#db9edb
19607,PA,Berks,40.2995,-75.9876,Reading,18284.0,71073.0,42.0,5608.0,708.0,#89bed7,#00ca00,#ffa500,#ff906d,#dc9fdc
19608,PA,Berks,40.3113,-76.0345,Reading,13035.0,62860.0,40.0,5957.0,994.0,#9bcbde,#00d700,#ffac00,#ff8d6b,#db9edb
19609,PA,Berks,40.328,-75.9908,Reading,11315.0,70442.0,40.0,4690.0,800.0,#a1cfe1,#00cb00,#ffac00,#ff9672,#dc9edc
19610,PA,Berks,40.338,-75.978,Reading,22253.0,54432.0,41.0,8199.0,2229.0,#7cb4d2,#00e500,#ffa900,#ff7d5f,#d99cd9
19611,PA,Berks,40.325,-75.9442,Reading,13335.0,63810.0,38.0,4740.0,953.0,#9acade,#00d600,#ffb300,#ff9672,#db9edb
19612,PA,Berks,40.4389,-75.8853,Reading,18820.0,70966.0,38.0,5363.0,970.0,#88bdd7,#00ca00,#ffb300,#ff916f,#db9edb
18901,PA,Bucks,40.3054,-75.1489,Doylestown,13650.0,92397.0,45.0,8140.0,1582.0,#99c9de,#00a700,#ff9b00,#ff7d60,#da9dda
18902,PA,Bucks,40.3477,-75.0968,Doylestown,14714.0,103531.0,39.0,6706.0,1483.0,#95c7dc,#009500,#ffaf00,#ff8867,#db9ddb
18910,PA,Bucks,40.4259,-75.1791,Bedminster,16856.0,76998.0,39.0,5903.0,5927.0,#8ec1d9,#00c000,#ffaf00,#ff8d6c,#d495d4
18911,PA,Bucks,40.3695,-75.2482,Blooming Glen,14338.0,84852.0,42.0,5702.0,849.0,#97c8dd,#00b300,#ffa500,#ff8f6d,#dc9edc
18912,PA,Bucks,40.3237,-75.0599,Buckingham,21920.0,103981.0,42.0,6827.0,1566.0,#7db5d2,#009400,#ffa500,#ff8767,#da9dda
18913,PA,Bucks,40.3865,-75.0627,Carversville,23354.0,109201.0,40.0,7879.0,831.0,#79b2d1,#008c00,#ffac00,#ff7f61,#dc9edc
18914,PA,Bucks,40.2892,-75.2149,Chalfont,19669.0,128470.0,38.0,7114.0,2592.0,#85bbd5,#006c00,#ffb300,#ff8565,#d99bd9
18915,PA,Bucks,40.2728,-75.2563,Colmar,20111.0,94181.0,39.0,8685.0,1562.0,#83bad5,#00a400,#ffaf00,#ff7a5d,#da9dda
18916,PA,Bucks,40.3545,-75.1327,Danboro,14653.0,105713.0,44.0,5689.0,1237.0,#96c7dc,#009100,#ff9e00,#ff8f6d,#db9edb
18917,PA,Bucks,40.375,-75.2045,Dublin,23207.0,100403.0,43.0,6548.0,1409.0,#79b2d1,#009a00,#ffa200,#ff8968,#db9ddb
18918,PA,Bucks,40.32,-75.3742,Earlington,20624.0,85516.0,43.0,7298.0,7713.0,#82b8d4,#00b200,#ffa200,#ff8364,#d191d1
18920,PA,Bucks,40.5087,-75.0804,Erwinna,22950.0,107331.0,40.0,7868.0,1222.0,#7ab3d1,#008f00,#ffac00,#ff7f61,#db9edb
18921,PA,Bucks,40.5337,-75.1788,Ferndale,18354.0,94072.0,39.0,9035.0,1456.0,#89bed7,#00a400,#ffaf00,#ff775b,#db9ddb
18922,PA,Bucks,40.2923,-75.0591,Forest Grove,37947.0,99950.0,38.0,14862.0,4346.0,#488ebd,#009b00,#ffb300,#ff4d3b,#d698d6
18923,PA,Bucks,40.3578,-75.1711,Fountainville,17880.0,102408.0,40.0,7671.0,1089.0,#8bbfd8,#009700,#ffac00,#ff8162,#db9edb
18924,PA,Bucks,40.3081,-75.3586,Franconia,14482.0,98806.0,39.0,7956.0,1054.0,#96c7dc,#009d00,#ffaf00,#ff7f61,#db9edb
18925,PA,Bucks,40.2945,-75.0649,Furlong,21103.0,81478.0,40.0,7121.0,801.0,#80b7d4,#00b900,#ffac00,#ff8565,#dc9edc
18927,PA,Bucks,40.3235,-75.2548,Hilltown,19571.0,80797.0,41.0,5486.0,1011.0,#85bbd6,#00ba00,#ffa900,#ff906e,#db9edb
18928,PA,Bucks,40.336,-75.0429,Holicong,20946.0,83917.0,40.0,7035.0,870.0,#81b8d4,#00b500,#ffac00,#ff8566,#db9edb
18929,PA,Bucks,40.2566,-75.0961,Jamison,13947.0,91177.0,42.0,8730.0,918.0,#98c8dd,#00a900,#ffa500,#ff795c,#db9edb
18930,PA,Bucks,40.531,-75.2117,Kintnersville,33626.0,114758.0,38.0,12856.0,3179.0,#5699c3,#008300,#ffb300,#ff5c46,#d89ad8
18931,PA,Bucks,40.3286,-75.1028,Lahaska,18781.0,96520.0,39.0,6364.0,1249.0,#88bdd7,#00a000,#ffaf00,#ff8a69,#db9edb
18932,PA,Bucks,40.2888,-75.2555,Line Lexington,17412.0,107591.0,40.0,6001.0,1656.0,#8cc0d8,#008e00,#ffac00,#ff8d6b,#da9dda
18933,PA,Bucks,40.3286,-75.1028,Lumberville,21124.0,93779.0,41.0,6002.0,1016.0,#80b7d3,#00a500,#ffa900,#ff8d6b,#db9edb
18934,PA,Bucks,40.3494,-75.0676,Mechanicsville,31743.0,122775.0,39.0,12279.0,2913.0,#5d9dc5,#007600,#ffaf00,#ff6049,#d89ad8
18935,PA,Bucks,40.437,-75.3988,Milford Square,18003.0,106736.0,41.0,8263.0,1522.0,#8abfd8,#009000,#ffa900,#ff7d5f,#da9dda
18936,PA,Bucks,40.2241,-75.231,Montgomeryville,12752.0,108800.0,41.0,7481.0,1060.0,#9ccbdf,#008c00,#ffa900,#ff8263,#db9edb
18938,PA,Bucks,40.3556,-74.9839,New Hope,16141.0,95384.0,45.0,6238.0,1782.0,#91c3da,#00a200,#ff9b00,#ff8b6a,#da9dda
18940,PA,Bucks,40.263,-74.9555,Newtown,16243.0,92242.0,39.0,5572.0,955.0,#90c3da,#00a700,#ffaf00,#ff906e,#db9edb
18942,PA,Bucks,40.4592,-75.157,Ottsville,37967.0,91390.0,41.0,15673.0,10384.0,#488ebd,#00a900,#ffa900,#ff4836,#cd8ccd
18943,PA,Bucks,40.269,-75.0094,Penns Park,22733.0,82306.0,40.0,6491.0,914.0,#7bb3d1,#00b800,#ffac00,#ff8968,#db9edb
18944,PA,Bucks,40.3765,-75.2648,Perkasie,22256.0,99507.0,41.0,9032.0,773.0,#7cb4d2,#009c00,#ffa900,#ff775b,#dc9edc
18946,PA,Bucks,40.2962,-75.0057,Pineville,36312.0,119179.0,40.0,15050.0,6652.0,#4e92bf,#007c00,#ffac00,#ff4c3a,#d393d3
18947,PA,Bucks,40.4262,-75.1074,Pipersville,18614.0,82454.0,44.0,8379.0,1492.0,#88bdd7,#00b700,#ff9e00,#ff7c5e,#db9ddb
18949,PA,Bucks,40.388,-75.1425,Plumsteadville,15160.0,102097.0,44.0,8334.0,1611.0,#94c6dc,#009700,#ff9e00,#ff7c5e,#da9dda
18950,PA,Bucks,40.4226,-75.0663,Point Pleasant,22611.0,125594.0,40.0,8720.0,3905.0,#7bb4d2,#007100,#ffac00,#ff795c,#d799d7
18951,PA,Bucks,40.4411,-75.3507,Quakertown,20836.0,94196.0,45.0,5909.0,1657.0,#81b8d4,#00a400,#ff9b00,#ff8d6c,#da9dda
18953,PA,Bucks,40.5154,-75.161,Revere,14353.0,86580.0,44.0,5567.0,1393.0,#97c7dd,#00b100,#ff9e00,#ff906e,#db9ddb
18954,PA,Bucks,40.2167,-75.0029,Richboro,26738.0,86120.0,43.0,9469.0,4385.0,#6daacc,#00b100,#ffa200,#ff7458,#d698d6
18955,PA,Bucks,40.4796,-75.3146,Richlandtown,19222.0,96234.0,39.0,5573.0,1183.0,#86bcd6,#00a100,#ffaf00,#ff906d,#db9edb
18956,PA,Bucks,40.2628,-75.0157,Rushland,14133.0,87087.0,43.0,5970.0,1560.0,#97c8dd,#00b000,#ffa200,#ff8d6b,#da9dda
18957,PA,Bucks,40.3029,-75.4486,Salford,17091.0,98900.0,42.0,6520.0,864.0,#8dc1d9,#009d00,#ffa500,#ff8968,#db9edb
18958,PA,Bucks,40.2904,-75.4355,Salfordville,28703.0,127851.0,45.0,9918.0,5083.0,#67a5c9,#006d00,#ff9b00,#ff7156,#d596d5
18960,PA,Bucks,40.362,-75.319,Sellersville,22929.0,94880.0,42.0,9089.0,950.0,#7ab3d1,#00a300,#ffa500,#ff775a,#db9edb
18962,PA,Bucks,40.3445,-75.2687,Silverdale,44504.0,80744.0,42.0,15420.0,14579.0,#327fb4,#00ba00,#ffa500,#ff4938,#c685c6
18963,PA,Bucks,40.3807,-75.0082,Solebury,13645.0,99555.0,45.0,8858.0,1097.0,#99c9de,#009b00,#ff9b00,#ff785c,#db9edb
18964,PA,Bucks,40.2884,-75.341,Souderton,20508.0,103079.0,42.0,7924.0,919.0,#82b9d4,#009600,#ffa500,#ff7f61,#db9edb
18966,PA,Bucks,40.1868,-75.0071,Southampton,22069.0,108210.0,40.0,7657.0,9699.0,#7db5d2,#008d00,#ffac00,#ff8162,#ce8ece
18968,PA,Bucks,40.439,-75.4371,Spinnerstown,21884.0,87953.0,39.0,5818.0,1299.0,#7db5d2,#00ae00,#ffaf00,#ff8e6c,#db9ddb
18969,PA,Bucks,40.3205,-75.352,Telford,15854.0,84004.0,39.0,7719.0,1221.0,#92c4db,#00b500,#ffaf00,#ff8062,#db9edb
18970,PA,Bucks,40.4107,-75.3782,Trumbauersville,39323.0,82597.0,43.0,13735.0,13138.0,#448bbb,#00b700,#ffa200,#ff5541,#c887c8
18971,PA,Bucks,40.347,-75.377,Tylersport,15840.0,102889.0,42.0,7145.0,1053.0,#92c4db,#009600,#ffa500,#ff8565,#db9edb
18972,PA,Bucks,40.5411,-75.1259,Upper Black Eddy,17023.0,89920.0,42.0,7823.0,1607.0,#8ec1d9,#00ab00,#ffa500,#ff8061,#da9dda
18974,PA,Bucks,40.2067,-75.0905,Warminster,31346.0,101417.0,43.0,11283.0,8706.0,#5e9ec6,#009800,#ffa200,#ff674e,#cf90cf
18976,PA,Bucks,40.2464,-75.1354,Warrington,15920.0,89879.0,43.0,5027.0,1442.0,#91c4da,#00ab00,#ffa200,#ff9470,#db9ddb
18977,PA,Bucks,40.2849,-74.8778,Washington Crossing,12829.0,96835.0,42.0,7672.0,1226.0,#9ccbdf,#00a000,#ffa500,#ff8162,#db9edb
18979,PA,Bucks,40.3107,-75.4488,Woxall,18933.0,81155.0,42.0,5638.0,1302.0,#87bcd6,#00b900,#ffa500,#ff8f6d,#db9ddb
18980,PA,Bucks,40.2742,-75.0205,Wycombe,22652.0,83025.0,39.0,7416.0,1433.0,#7bb3d1,#00b600,#ffaf00,#ff8363,#db9ddb
18981,PA,Bucks,40.4843,-75.3938,Zionhill,20783.0,86714.0,44.0,6460.0,1546.0,#81b8d4,#00b000,#ff9e00,#ff8969,#da9dda
18991,PA,Bucks,40.3286,-75.1028,Warminster,22533.0,84299.0,43.0,6179.0,1323.0,#7bb4d2,#00b400,#ffa200,#ff8b6a,#db9ddb
19001,PA,Bucks,40.1238,-75.1148,Abington,14574.0,95073.0,40.0,8267.0,737.0,#96c7dc,#00a300,#ffac00,#ff7d5f,#dc9fdc
19002,PA,Bucks,40.1809,-75.2156,Ambler,17090.0,106041.0,40.0,6177.0,1453.0,#8dc1d9,#009100,#ffac00,#ff8b6a,#db9ddb
19003,PA,Bucks,40.002,-75.2966,Ardmore,21476.0,85780.0,43.0,7411.0,1090.0,#7fb6d3,#00b200,#ffa200,#ff8363,#db9edb
19004,PA,Bucks,40.0118,-75.2342,Bala Cynwyd,20828.0,80913.0,39.0,7174.0,1049.0,#81b8d4,#00ba00,#ffaf00,#ff8465,#db9edb
19006,PA,Bucks,40.1284,-75.0607,Huntingdon Valley,15289.0,106090.0,40.0,5793.0,1050.0,#93c5db,#009100,#ffac00,#ff8e6c,#db9edb
19007,PA,Bucks,40.1159,-74.8536,Bristol,21983.0,103517.0,45.0,5281.0,1668.0,#7db5d2,#009500,#ff9b00,#ff926f,#da9dda
19008,PA,Bucks,39.9747,-75.3602,Broomall,18627.0,97991.0,41.0,5386.0,1438.0,#88bdd7,#009e00,#ffa900,#ff916f,#db9ddb
19009,PA,Bucks,40.135,-75.0623,Bryn Athyn,19038.0,100514.0,45.0,5252.0,808.0,#87bcd6,#009a00,#ff9b00,#ff926f,#dc9edc
19010,PA,Bucks,40.0236,-75.3295,Bryn Mawr,51380.0,55071.0,34.0,22096.0,13252.0,#1c6eab,#00e400,#ffc100,#ff1a13,#c887c8
19012,PA,Bucks,40.0603,-75.1048,Cheltenham,16563.0,94001.0,45.0,6492.0,1460.0,#8fc2da,#00a500,#ff9b00,#ff8968,#db9ddb
19013,PA,Bucks,39.8498,-75.3747,Chester,57901.0,43906.0,39.0,25767.0,17108.0,#065ea2,#00f600,#ffaf00,#ff0000,#c280c2
19014,PA,Bucks,39.8643,-75.4332,Aston,22880.0,82975.0,41.0,7275.0,1006.0,#7ab3d1,#00b700,#ffa900,#ff8464,#db9edb
19015,PA,Bucks,39.8654,-75.3885,Brookhaven,21135.0,83216.0,40.0,7135.0,811.0,#80b7d3,#00b600,#ffac00,#ff8565,#dc9edc
19016,PA,Bucks,39.934,-75.406,Chester,33149.0,63150.0,36.0,12780.0,15471.0,#589ac3,#00d700,#ffba00,#ff5c46,#c583c5
19017,PA,Bucks,39.8901,-75.4755,Chester Heights,19847.0,96036.0,39.0,8133.0,1619.0,#84bad5,#00a100,#ffaf00,#ff7d60,#da9dda
19018,PA,Bucks,39.9218,-75.2876,Clifton Heights,22623.0,104973.0,42.0,6407.0,1041.0,#7bb3d1,#009300,#ffa500,#ff8a69,#db9edb
19019,PA,Bucks,40.0018,-75.1179,Philadelphia,19283.0,39529.0,38.0,7830.0,3866.0,#86bcd6,#00fd00,#ffb300,#ff8061,#d799d7
19020,PA,Bucks,40.1109,-74.9378,Bensalem,18497.0,86657.0,40.0,6692.0,1224.0,#89bdd7,#00b100,#ffac00,#ff8867,#db9edb
19021,PA,Bucks,40.0933,-74.8991,Croydon,12862.0,102503.0,44.0,7944.0,1369.0,#9bcbdf,#009700,#ff9e00,#ff7f61,#db9ddb
19022,PA,Bucks,39.8685,-75.3374,Crum Lynne,38095.0,47752.0,34.0,15800.0,44662.0,#488ebd,#00f000,#ffc100,#ff4736,#984c98
19023,PA,Bucks,39.9176,-75.2696,Darby,16708.0,108718.0,44.0,8885.0,768.0,#8fc2d9,#008d00,#ff9e00,#ff785b,#dc9edc
19025,PA,Bucks,40.1431,-75.1624,Dresher,54632.0,62217.0,37.0,23231.0,12835.0,#1166a6,#00d800,#ffb600,#ff120d,#c988c9
19026,PA,Bucks,39.9503,-75.304,Drexel Hill,21440.0,93154.0,40.0,7544.0,1342.0,#7fb6d3,#00a600,#ffac00,#ff8263,#db9ddb
19027,PA,Bucks,40.075,-75.1315,Elkins Park,17889.0,96606.0,40.0,7013.0,1118.0,#8bbfd8,#00a000,#ffac00,#ff8566,#db9edb
19028,PA,Bucks,39.9748,-75.4505,Edgemont,50994.0,70220.0,32.0,20174.0,32129.0,#1d6fab,#00cb00,#ffc800,#ff271e,#ab64ab
19029,PA,Bucks,39.8621,-75.2971,Essington,14457.0,92083.0,39.0,8937.0,815.0,#96c7dc,#00a800,#ffaf00,#ff785b,#dc9edc
19030,PA,Bucks,40.1748,-74.8519,Fairless Hills,15956.0,104296.0,40.0,5560.0,1620.0,#91c4da,#009400,#ffac00,#ff906e,#da9dda
19031,PA,Bucks,40.1068,-75.2115,Flourtown,48129.0,54299.0,32.0,20150.0,38042.0,#2676af,#00e500,#ffc800,#ff281e,#a259a2
19032,PA,Bucks,39.8905,-75.2821,Folcroft,23206.0,103415.0,42.0,5190.0,1420.0,#79b2d1,#009500,#ffa500,#ff9270,#db9ddb
19033,PA,Bucks,39.8901,-75.3296,Folsom,21298.0,107527.0,44.0,5728.0,1136.0,#7fb7d3,#008f00,#ff9e00,#ff8f6d,#db9edb
19034,PA,Bucks,40.1386,-75.2022,Fort Washington,44475.0,54087.0,33.0,17595.0,20988.0,#327fb4,#00e600,#ffc400,#ff3a2c,#bc79bc
19035,PA,Bucks,40.0451,-75.2821,Gladwyne,13579.0,98730.0,43.0,5780.0,826.0,#99c9de,#009d00,#ffa200,#ff8e6c,#dc9edc
19036,PA,Bucks,39.9048,-75.2946,Glenolden,21910.0,95976.0,41.0,7380.0,1218.0,#7db5d2,#00a100,#ffa900,#ff8364,#db9edb
19037,PA,Bucks,39.934,-75.406,Glen Riddle Lima,18587.0,42079.0,36.0,8278.0,8418.0,#88bdd7,#00f900,#ffba00,#ff7c5f,#d090d0
19038,PA,Bucks,40.1096,-75.155,Glenside,12940.0,97998.0,44.0,8793.0,1517.0,#9bcbde,#009e00,#ff9e00,#ff795c,#da9dda
19039,PA,Bucks,39.9432,-75.4694,Gradyville,19637.0,99209.0,40.0,8836.0,1506.0,#85bbd5,#009c00,#ffac00,#ff785c,#da9dda
19040,PA,Bucks,40.1785,-75.1072,Hatboro,43817.0,63556.0,34.0,19415.0,35836.0,#3580b5,#00d600,#ffc100,#ff2d22,#a55da5
19041,PA,Bucks,40.0097,-75.3121,Haverford,21781.0,100732.0,43.0,5342.0,1590.0,#7eb6d3,#009a00,#ffa200,#ff916f,#da9dda
19043,PA,Bucks,39.9003,-75.3087,Holmes,24450.0,43433.0,34.0,9937.0,9084.0,#75afcf,#00f700,#ffc100,#ff7156,#cf8fcf
19044,PA,Bucks,40.1821,-75.1479,Horsham,18461.0,82615.0,44.0,8353.0,1055.0,#89bed7,#00b700,#ff9e00,#ff7c5e,#db9edb
19046,PA,Bucks,40.098,-75.1078,Jenkintown,29439.0,44416.0,36.0,11670.0,9129.0,#64a3c8,#00f500,#ffba00,#ff644c,#cf8fcf
19047,PA,Bucks,40.1813,-74.9104,Langhorne,14023.0,86397.0,41.0,7286.0,836.0,#98c8dd,#00b100,#ffa900,#ff8464,#dc9edc
19048,PA,Bucks,40.1735,-74.9246,Langhorne,14860.0,95429.0,43.0,7457.0,1447.0,#95c6dc,#00a200,#ffa200,#ff8263,#db9ddb
19049,PA,Bucks,40.1746,-74.9227,Langhorne,29101.0,47122.0,32.0,12930.0,5924.0,#66a4c9,#00f100,#ffc800,#ff5b45,#d495d4
19050,PA,Bucks,39.9375,-75.2637,Lansdowne,22545.0,93743.0,39.0,6647.0,840.0,#7bb4d2,#00a500,#ffaf00,#ff8868,#dc9edc
19052,PA,Bucks,39.8942,-75.4456,Lenni,40433.0,47127.0,39.0,18148.0,18671.0,#4088ba,#00f100,#ffaf00,#ff3629,#c07dc0
19053,PA,Bucks,40.1547,-74.9904,Feasterville Trevose,18951.0,89217.0,43.0,8601.0,1288.0,#87bcd6,#00ac00,#ffa200,#ff7a5d,#db9ddb
19054,PA,Bucks,40.1681,-74.8231,Levittown,20003.0,99129.0,43.0,7262.0,1276.0,#84bad5,#009c00,#ffa200,#ff8464,#db9edb
19055,PA,Bucks,40.1483,-74.8371,Levittown,19958.0,66795.0,32.0,7873.0,13288.0,#84bad5,#00d100,#ffc800,#ff7f61,#c887c8
19056,PA,Bucks,40.1519,-74.8826,Levittown,22442.0,83481.0,45.0,7723.0,744.0,#7cb4d2,#00b600,#ff9b00,#ff8062,#dc9fdc
19057,PA,Bucks,40.1434,-74.8614,Levittown,12909.0,84444.0,45.0,7158.0,1256.0,#9bcbdf,#00b400,#ff9b00,#ff8465,#db9edb
19058,PA,Bucks,40.1551,-74.8288,Levittown,59814.0,47794.0,35.0,23488.0,53228.0,#005aa0,#00f000,#ffbd00,#ff100c,#8a3c8a
